isin,company_shortname,year,role,salary,one_year_bonus,multi_year_bonus,multi_year_bonus_grants,multi_year_bonus_payout,total_equity_grants,stock_grants,option_grants,other_annual_comp,total_comp,pension,one_time_payment,total_comp_pens_and_one_time,n_seat_holders,comp_per_seat,log_tc_seat,ratio_salary,ratio_sti,ratio_lti,ratio_equity,ratio_stock,ratio_option,ratio_other,ratio_pension,Sector
DE 0008063306,IKB,2006,CEO,504,195,0,0,0,0,0,0,93,792,0,0,792,1,792,6.67456139181443,0.636363636363636,0.246212121212121,0,0,0,0,0.117424242424242,0,
DE 0008063306,IKB,2006,Other,1637,1101,0,0,0,0,0,0,285,3023,0,0,3023,6,503.833333333333,6.2222455255514,0.541515051273569,0.364207740654979,0,0,0,0,0.0942772080714522,0,
DE 0008063306,IKB,2007,CEO,371,550,0,0,0,0,0,0,15,936,0,0,936,1,936,6.84161547647759,0.396367521367521,0.587606837606838,0,0,0,0,0.016025641025641,0,
DE 0008063306,IKB,2007,CFO,278,450,0,0,0,0,0,0,8,736,0,0,736,1,736,6.60123011872888,0.377717391304348,0.611413043478261,0,0,0,0,0.0108695652173913,0,
DE 0008063306,IKB,2007,Other,1374,1044,0,0,0,0,0,0,174,2592,587,0,3179,6,432,6.06842558824411,0.530092592592593,0.402777777777778,0,0,0,0,0.0671296296296296,0.226466049382716,
DE 0008063306,IKB,2008,CEO,312,313,0,0,0,0,0,0,8,633,0,0,633,1,633,6.45047042214418,0.492890995260664,0.494470774091627,0,0,0,0,0.0126382306477093,0,
DE 0008063306,IKB,2008,CFO,480,975,0,0,0,0,0,0,17,1472,0,0,1472,1,1472,7.29437729928882,0.326086956521739,0.662364130434783,0,0,0,0,0.0115489130434783,0,
DE 0008063306,IKB,2008,Other,1588,1829,0,0,0,0,0,0,146,3563,858,1120,5541,5,712.6,6.56892025317174,0.445691832725232,0.513331462250912,0,0,0,0,0.0409767050238563,0.24080830760595,
DE0003304101,Gerry Weber,2008,CEO,469,2148,0,0,0,0,0,0,0,2617,0,0,2617,1,2617,7.86978390253015,0.179212839128773,0.820787160871227,0,0,0,0,0,0,
DE0003304101,Gerry Weber,2008,Other,580,1479,0,0,0,0,0,0,0,2059,0,0,2059,2,1029.5,6.93682852646784,0.28169014084507,0.71830985915493,0,0,0,0,0,0,
DE0003304101,Gerry Weber,2009,CEO,469,2410,0,0,0,0,0,0,0,2879,0,0,2879,1,2879,7.96519829061218,0.162903786036818,0.837096213963182,0,0,0,0,0,0,
DE0003304101,Gerry Weber,2009,CFO,232,108,0,0,0,0,0,0,0,340,0,0,340,1,340,5.82894561761021,0.682352941176471,0.317647058823529,0,0,0,0,0,0,
