isin,ratio_salary,ratio_sti,ratio_lti,ratio_equity,ratio_variable,ratio_other,ratio_pension,vpi,ratio_stock_in_equity,ratio_option_in_equity,log_tc_pe,salary_bt_pe,one_year_bonus_bt_pe,multi_year_bonus_bt_pe,total_equity_grants_bt_pe,stock_grants_bt_pe,option_grants_bt_pe,other_annual_bt_pe,total_comp_bt_pe,one_time_payment_bt_pe,pension_bt_pe,total_comp_pens_and_one_time_bt_pe,n_executives_median,index_score,ever_opted_out,year_count,year_min,year_max,company_shortname,company_name,sector,index_listing_last,data_confidence
DE0005140008,0.527617714788384,0.0164000032339855,0.0218813053760966,0.3356214668608495,0.3932613685149522,0.0515065388874396,0.1409247354461319,0.7494505268304552,1.0,0.0,8.355316240414854,1683.452380952381,82.72115705128206,86.77560833333334,1510.849025974026,1510.849025974026,0.0,132.97422857142857,4252.472916666667,0.0,543.503125,5099.875089285714,9.0,1.0,0,16,2006,2021,Deutsche Bank,Deutsche Bank AG,Financials,DAX,high
DE0005190003,0.214942134106074,0.7567220321928598,0.0,0.0208760667738849,0.776893733420409,0.0101090301474756,0.0700262126695366,3.6158390665955102,1.0,0.0,8.070599542174156,819.9372222222222,1880.1742857142856,0.0,80.94582638888889,80.94582638888889,0.0,36.807833333333335,3250.583888888889,0.0,193.8041597222222,3428.6052222222224,8.0,1.0,0,16,2006,2021,BMW,BMW AG,Consumer Discretionary,DAX,high
DE0005439004,0.3887328438929676,0.2402144875329708,0.0,0.2986032720890555,0.5975664711426458,0.0084833306577772,0.2112085796912932,1.5459266396134717,1.0,0.0,7.626651807125265,768.4,468.97222222222223,0.0,523.3482142857142,502.94444444444446,0.0,17.394444444444446,2054.5,4.833333333333333,415.625,2399.4513888888887,8.0,1.0,0,16,2006,2021,Continental,Continental AG,Consumer Discretionary,DAX,high
DE0005552004,0.3405383100775885,0.1807297216944921,0.1021410612717982,0.338461037432256,0.6221729016088788,0.0250466152159623,0.1307301004909938,1.7861539360167311,0.0,1.0,7.860897389485109,927.2313333333334,493.4060208333333,271.80757142857146,874.8706875,0.0,840.5181041666667,65.12018749999999,2592.9283333333333,0.0,366.9792142857143,3123.2464285714286,8.0,1.0,0,16,2006,2021,Deutsche Post,Deutsche Post AG,Industrials,DAX,high
DE0005557508,0.3847455351599512,0.3680522353828652,0.1409123041903025,0.0959336722536426,0.5936429255796785,0.0214535061479288,0.1796042870249869,1.5521620062148933,1.0,0.0,7.685814841001958,793.2464285714286,797.6081111111112,325.33557142857137,220.3990396825397,220.3990396825397,0.0,50.66384642857143,2176.743571428572,0.0,344.4135476190476,2703.186714285714,8.0,1.0,0,16,2006,2021,Deutsche Telekom,Deutsche Telekom AG,Communication Services,DAX,high
DE0005785604,0.2385668483444946,0.3534551852576267,0.0045794672798784,0.3835803793400041,0.7348334966797314,0.0266470891893858,0.0648604957432115,3.09598515070922,0.3269465385636207,0.6730534614363792,7.877732443617775,587.5,941.345238095238,13.083333333333332,1011.5,434.83333333333337,456.6666666666666,65.66666666666666,2636.916666666667,0.0,222.0833333333333,2848.833333333333,6.0,1.0,0,16,2006,2021,Fresenius,Fresenius SE & Co. KGaA,Health Care,DAX,high
DE0005785802,0.2307214622951997,0.3361187194205844,0.0,0.3842545155703774,0.7145626150285853,0.0520495564776383,0.0976050289975578,3.1227228387978583,0.4490544959306876,0.5509455040693125,7.896620163690911,579.3303571428571,913.4285714285714,0.0,1049.142857142857,486.2142857142857,373.25892857142856,125.21428571428572,2687.594285714285,0.0,230.0873015873016,2964.9871428571428,7.0,1.0,0,16,2006,2021,Fresenius Medical Care,Fresenius Medical Care AG & Co. KGaA,Health Care,DAX,high
DE0005810055,0.2798305836231854,0.2810845334272018,0.0,0.2763022778136546,0.7070687375369025,0.0126582737359701,0.1479021694298872,2.5274509877603224,1.0,0.0,7.822084764950687,705.0857142857143,711.3414285714287,0.0,710.9333333333334,639.5833333333334,0.0,31.1375,2494.333333333333,0.0,372.5125,3082.5385714285712,6.0,1.0,0,16,2006,2021,Deutsche Börse,Deutsche Börse AG,Financials,DAX,high
DE0006047004,0.2601896435970922,0.3774647035032874,0.1204537261442045,0.1199419333069544,0.6825671549129025,0.050728840753016,0.1121876628318274,2.6251371993048567,1.0,0.0,7.959314964611821,776.4722222222222,1256.9375,340.47222222222223,306.60416666666663,306.60416666666663,0.0,157.25,2872.25,0.0,297.58333333333337,3400.205555555556,6.5,1.0,1,16,2006,2021,Heidelberg Cement,HeidelbergCement AG,Materials,DAX,high
DE0006048408,0.2249908165999496,0.4478265741302527,0.0712619170001346,0.23135298535209,0.7545818533885399,0.0159283459580141,0.1352101429310087,3.3666753953326367,1.0,0.0,8.085956353793389,706.6714285714286,1380.4213809523808,248.81904761904764,754.5174999999999,754.5174999999999,0.0,45.98192857142857,3247.727857142857,0.0,449.514,4129.342500000001,7.0,1.0,0,16,2006,2021,Henkel,Henkel AG & Co. KGaA,Consumer Staples,DAX,high
