isin,company_shortname,year,role,n_seat_holders,comp_per_seat,ratio_salary,ratio_sti,ratio_lti,ratio_equity,ratio_other,ratio_pension,vpi,ratio_stock,ratio_option,index_score,ever_opted_out,sector,firm_size
DE 0008063306,IKB,2006,CEO,1,792,0.636363636363636,0.246212121212121,0,0,0.117424242424242,0,0.386904761904762,0,0,0,0,Financials,-0.357802896363723
DE 0008063306,IKB,2006,Other,6,702.843302900624,0.522100535591578,0.360441280921989,0,0,0.117458183486433,0,0.690367575496896,0,0,0,0,Financials,-0.357802896363723
DE 0008063306,IKB,2007,CEO,1,1388.78048780488,0.396367521367521,0.587606837606838,0,0,0.016025641025641,0,1.48247978436658,0,0,0,0,Financials,-0.63265964524829
DE 0008063306,IKB,2007,CFO,1,1599.04761904762,0.377717391304348,0.611413043478261,0,0,0.0108695652173913,0,1.61870503597122,0,0,0,0,Financials,-0.63265964524829
DE 0008063306,IKB,2007,Other,6,707.576874637592,0.577807661575855,0.339519029520891,0,0,0.0826733089032539,0.138265306343486,0.587598697800097,0,0,0,0,Financials,-0.63265964524829
DE 0008063306,IKB,2008,CEO,1,1540.3,0.492890995260664,0.494470774091627,0,0,0.0126382306477093,0,1.00320512820513,0,0,0,0,Financials,-0.631938379402912
DE 0008063306,IKB,2008,CFO,1,1472,0.326086956521739,0.662364130434783,0,0,0.0115489130434782,0,2.03125,0,0,0,0,Financials,-0.631938379402912
DE 0008063306,IKB,2008,Other,5,1006.05923959055,0.464685873161204,0.501355547667964,0,0,0.0339585791708314,0.170566496730191,1.07891282396278,0,0,0,0,Financials,-0.631938379402912
DE0003304101,Gerry Weber,2008,CEO,1,2617,0.179212839128773,0.820787160871227,0,0,0,0,4.57995735607676,0,0,0,0,Consumer Discretionary,-1.0558400024162
DE0003304101,Gerry Weber,2008,Other,2,1361.83027522936,0.383684935613499,0.616315064386501,0,0,0,0,1.60630508831689,0,0,0,0,Consumer Discretionary,-1.0558400024162
DE0003304101,Gerry Weber,2009,CEO,1,2879,0.162903786036818,0.837096213963182,0,0,0,0,5.13859275053305,0,0,0,0,Consumer Discretionary,-1.00537019493997
DE0003304101,Gerry Weber,2009,CFO,1,678.142076502732,0.682352941176471,0.317647058823529,0,0,0,0,0.46551724137931,0,0,0,0,Consumer Discretionary,-1.00537019493997
DE0003304101,Gerry Weber,2009,Other,2,1488.25367647059,0.350675016365905,0.649324983634095,0,0,0,0,1.85164312634285,0,0,0,0,Consumer Discretionary,-1.00537019493997
DE0003304101,Gerry Weber,2010,CEO,1,3742,0.125334045964725,0.874665954035275,0,0,0,0,6.97867803837953,0,0,0,0,Consumer Discretionary,-0.95971604502886
DE0003304101,Gerry Weber,2010,CFO,1,716,0.652234636871508,0.347765363128492,0,0,0,0,0.533190578158458,0,0,0,0,Consumer Discretionary,-0.95971604502886
DE0003304101,Gerry Weber,2010,Other,1,948,0.69620253164557,0.30379746835443,0,0,0,0,0.436363636363636,0,0,0,0,Consumer Discretionary,-0.95971604502886
