isin,company_shortname,year,role,n_seat_holders,comp_per_seat,log_tc_seat,ratio_salary,ratio_sti,ratio_lti,ratio_equity,ratio_other,ratio_pension,vpi,ratio_stock,ratio_option,firm_size,index_score,ever_opted_out,sector
DE 0008063306,IKB,2007,CFO,1,1599.0476190476188,7.3771634929081085,0.37771739130434784,0.6114130434782609,0.0,0.0,0.010869565217391306,0.0,1.618705035971223,0.0,0.0,,0.0,0,Financials
DE 0008063306,IKB,2008,CFO,1,1472.0,7.294377299288821,0.32608695652173914,0.6623641304347826,0.0,0.0,0.01154891304347826,0.0,2.03125,0.0,0.0,,0.0,0,Financials
DE0003304101,Gerry Weber,2009,CFO,1,678.1420765027323,6.519356818351278,0.6823529411764705,0.3176470588235294,0.0,0.0,0.0,0.0,0.46551724137931033,0.0,0.0,,0.0,0,Consumer Discretionary
DE0003304101,Gerry Weber,2010,CFO,1,716.0,6.573680166960646,0.6522346368715084,0.3477653631284916,0.0,0.0,0.0,0.0,0.5331905781584583,0.0,0.0,,0.0,0,Consumer Discretionary
DE0003304101,Gerry Weber,2011,CFO,1,773.9,6.651442666276413,0.6034371365809537,0.3965628634190464,0.0,0.0,0.0,0.0,0.6571734475374732,0.0,0.0,,0.0,0,Consumer Discretionary
DE0003304101,Gerry Weber,2012,CFO,1,787.0,6.668228248417403,0.5933926302414231,0.40660736975857686,0.0,0.0,0.0,0.0,0.6852248394004282,0.0,0.0,,0.0,0,Consumer Discretionary
DE0003304101,Gerry Weber,2013,CFO,1,774.0,6.651571873589727,0.6124031007751938,0.3875968992248062,0.0,0.0,0.0,0.0,0.6329113924050633,0.0,0.0,,0.0,0,Consumer Discretionary
DE0005085906,AWD,2006,CFO,1,935.0,6.840546529288687,0.4919786096256685,0.4502673796791444,0.0,0.031016042780748664,0.026737967914438502,0.0,0.9782608695652174,0.0,1.0,-2.816121345496739,0.0,0,Consumer Discretionary
DE0005085906,AWD,2008,CFO,1,434.3801652892562,6.073920107561751,0.576388888888889,0.22916666666666669,0.11805555555555557,0.0,0.07638888888888888,0.0,0.6024096385542169,0.0,0.0,-2.7929118216870905,0.0,0,Consumer Discretionary
DE0005089031,United Internet,2017,CFO,1,511.0,6.236369590203704,0.7045009784735812,0.273972602739726,0.0,0.0,0.021526418786692758,0.0,0.3888888888888889,0.0,0.0,,0.0,0,Communication Services
DE0005089031,United Internet,2018,CFO,1,511.0,6.236369590203704,0.7045009784735812,0.273972602739726,0.0,0.0,0.021526418786692758,0.0,0.3888888888888889,0.0,0.0,-2.46408776307736,0.0,0,Communication Services
DE0005089031,United Internet,2019,CFO,1,503.0,6.220590170099739,0.7157057654075547,0.2624254473161034,0.0,0.0,0.02186878727634195,0.0,0.36666666666666664,0.0,0.0,-3.709558947828465,0.0,0,Communication Services
DE0005089031,United Internet,2021,CFO,1,1055.0,6.961296045910167,0.6161137440758294,0.34218009478672984,0.0,0.0,0.04170616113744076,0.0,0.5553846153846154,0.0,0.0,-3.076241304173292,0.0,0,Communication Services
