isin,company_shortname,year,role,n_seat_holders,comp_per_seat,log_tc_seat,ratio_salary,ratio_sti,ratio_lti,ratio_equity,ratio_other,ratio_pension,vpi,ratio_stock,ratio_option,firm_size,index_score,ever_opted_out,sector
DE 0008063306,IKB,2006,CEO,1,792.0,6.674561391814426,0.6363636363636364,0.24621212121212122,0.0,0.0,0.11742424242424243,0.0,0.3869047619047619,0.0,0.0,,0.0,0,Financials
DE 0008063306,IKB,2007,CEO,1,1388.780487804878,7.236181294127721,0.3963675213675213,0.5876068376068376,0.0,0.0,0.016025641025641024,0.0,1.482479784366577,0.0,0.0,,0.0,0,Financials
DE 0008063306,IKB,2008,CEO,1,1540.3,7.339732481630412,0.4928909952606635,0.4944707740916271,0.0,0.0,0.01263823064770932,0.0,1.0032051282051282,0.0,0.0,,0.0,0,Financials
DE0003304101,Gerry Weber,2008,CEO,1,2617.0,7.869783902530146,0.1792128391287734,0.8207871608712266,0.0,0.0,0.0,0.0,4.5799573560767595,0.0,0.0,,0.0,0,Consumer Discretionary
DE0003304101,Gerry Weber,2009,CEO,1,2879.0,7.965198290612176,0.16290378603681835,0.8370962139631817,0.0,0.0,0.0,0.0,5.138592750533049,0.0,0.0,,0.0,0,Consumer Discretionary
DE0003304101,Gerry Weber,2010,CEO,1,3742.0,8.227375506834035,0.12533404596472475,0.8746659540352753,0.0,0.0,0.0,0.0,6.978678038379531,0.0,0.0,,0.0,0,Consumer Discretionary
DE0003304101,Gerry Weber,2011,CEO,1,4184.0,8.339023005744759,0.11209369024856597,0.887906309751434,0.0,0.0,0.0,0.0,7.9211087420042645,0.0,0.0,,0.0,0,Consumer Discretionary
DE0003304101,Gerry Weber,2012,CEO,1,4551.0,8.423102268016642,0.16501867721379918,0.8349813227862009,0.0,0.0,0.0,0.0,5.0599201065246335,0.0,0.0,,0.0,0,Consumer Discretionary
DE0003304101,Gerry Weber,2013,CEO,1,3755.0,8.230843564198235,0.2010652463382157,0.7989347536617842,0.0,0.0,0.0,0.0,3.9735099337748343,0.0,0.0,,0.0,0,Consumer Discretionary
DE0005085906,AWD,2008,CEO,1,771.0,6.647688373563329,0.8352788586251622,0.09727626459143969,0.03501945525291829,0.0,0.0324254215304799,0.0,0.15838509316770186,0.0,0.0,-2.7929118216870905,0.0,0,Consumer Discretionary
