isin,year,company_shortname,company_name,opting_out,index_listing,new_cnameshort,n_executives,days_bt,fy_begin,fy_end,salary_bt,one_year_bonus_bt,multi_year_bonus_bt,multi_year_bonus_grants_bt,multi_year_bonus_payout_bt,total_equity_grants_bt,stock_grants_bt,option_grants_bt,other_annual_bt,total_comp_bt,one_time_payment_bt,pension_bt,total_comp_pens_and_one_time_bt,fixed_pct,sti_pct,lti_grants_pct,equity_pct,lti_pct,variable_pct,pension_pct,onetime_pct,comp_per_exec,comp_yoy_pct,salary_yoy_pct,sti_yoy_pct,lti_yoy_pct,comp_3yr_mean,comp_volatility_3yr,lti_trend_3yr,lti_grant_payout_delta,lti_grant_payout_ratio,bonus_salary_ratio,equity_creep,has_onetime_payment,sector,peer_rank_total_comp,peer_pct_total_comp,peer_rank_per_exec,sector_rank,sector_pct,dax15_median_comp,comp_vs_median_pct,comp_above_own_3yr_mean_pct,ceo_comp,ceo_salary,ceo_sti,n_ceos,cfo_comp,board_avg_comp,board_median_comp,n_board_total,n_female,ceo_board_premium_ratio,ceo_board_premium_pct,cfo_ceo_ratio,ceo_peer_rank,ceo_peer_pct,ceo_comp_yoy_pct,female_exec_pct,revenue,ebit,employees,staff_costs,total_assets,profit_before_tax,ROE,ROA,rev_yoy_pct,ebit_yoy_pct,empl_yoy_pct,p4p_gap_vs_revenue,p4p_gap_vs_ebit,p4p_score_vs_ebit,schlechte_zeiten,schlechte_zeiten_score,revenue_per_comp_eur,exec_worker_pay_ratio,anomaly_score_pct,is_anomaly,crisis_GFC_2009,crisis_EuroDebt_2012,crisis_Dieselgate_2015,crisis_COVID_2020,is_energy_company,is_auto_company,dieselgate_era,energiewende_era
DE000A1EWWW0,2006,Adidas,Adidas AG,0,DAX,,4,1460,01jan2006,31dec2006,2673.0,3837.0,2000.0,,,0.0,0.0,0.0,303.0,8813.0,0.0,7827.0,16640.0,30.33019403154431,43.53795529331669,,0.0,22.693747872461138,69.66980596845569,88.81198229887666,0.0,2203.25,,,,,,,,,,1.4354657687991021,,0,Consumer,15.0,6.666666666666667,11.0,1.0,100.0,20235.44,-56.44769770264446,,3443.0,1120.0,1500.0,1,1497.0,1790.0,1719.0,3,0,1.923463687150838,92.3463687150838,0.43479523671216963,10.0,40.0,,0.0,,,,,,,,,,,,,,1.0,0,0.0,,,3.689667933264603,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
DE000A1EWWW0,2007,Adidas,Adidas AG,0,DAX,,4,1460,01jan2007,31dec2007,2658.0,4247.0,3400.0,,,0.0,0.0,0.0,307.0,10612.0,0.0,425.0,11037.0,25.047116471918585,40.02073124764418,,0.0,32.03920090463626,74.95288352808141,4.0049001130795325,0.0,2653.0,20.413026211278783,-0.561167227833892,10.685431326557215,70.0,9712.5,,27.3664743885487,,,1.5978179082016555,0.0,0,Consumer,13.0,20.0,8.0,1.0,100.0,20430.39,-48.057770801242654,9.26126126126126,4183.0,1120.0,1680.0,1,1871.0,2143.0,2013.0,3,0,1.9519365375641624,95.19365375641624,0.44728663638536936,9.0,46.666666666666664,21.492884112692412,0.0,,,,,,,,,,,,,,-1.0,0,0.0,,,4.0627754081056855,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
DE000A1EWWW0,2008,Adidas,Adidas AG,0,DAX,,4,1460,01jan2008,31dec2008,2858.0,4202.0,1200.0,,,0.0,0.0,0.0,156.0,8416.0,0.0,425.0,8841.0,33.95912547528518,49.9287072243346,,0.0,14.258555133079847,66.04087452471482,5.049904942965779,0.0,2104.0,-20.69355446664154,7.524454477050413,-1.0595714622086194,-64.70588235294117,9280.333333333334,29.066741948749367,22.99716797005908,,,1.470258922323303,0.0,0,Consumer,14.0,13.333333333333334,11.0,1.0,100.0,16760.0,-49.785202863961814,-9.31360224129881,3436.0,1250.0,1680.0,1,1431.0,1660.0,1431.0,3,0,2.0698795180722893,106.98795180722894,0.41647264260768335,10.0,40.0,-17.857996653119766,0.0,,,,,,,,,,,,,,-1.0,0,0.0,,,4.221922285830421,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
DE000A1EWWW0,2009,Adidas,Adidas AG,0,DAX,,4,1460,01jan2009,31dec2009,2881.0,3812.0,3700.0,,,0.0,0.0,0.0,101.0,10494.0,0.0,0.0,10494.0,27.453783114160473,36.32551934438727,,0.0,35.258242805412614,72.54621688583953,0.0,0.0,2623.5,24.691064638783278,0.8047585724282769,-9.28129462160876,208.33333333333334,9840.666666666666,25.059317093521887,27.185332947709572,,,1.3231516834432488,0.0,0,Consumer,14.0,13.333333333333334,7.0,1.0,100.0,17596.0,-40.36144578313253,6.639116591016875,4189.0,1250.0,1512.0,1,1825.0,2101.6666666666665,1825.0,3,0,1.9931800158604285,99.31800158604285,0.435664836476486,9.0,46.666666666666664,21.91501746216531,0.0,,,,,,,,,,,,,,-1.0,0,0.0,,,3.9595796752311583,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
DE000A1EWWW0,2010,Adidas,Adidas AG,0,DAX,,4,1460,01jan2010,31dec2010,3120.0,3839.0,4440.0,,,0.0,0.0,0.0,95.0,11494.0,0.0,0.0,11494.0,27.144597181137986,33.40003480076562,,0.0,38.62884983469637,72.85540281886202,0.0,0.0,2873.5,9.529254812273692,8.29573064908018,0.7082896117523552,19.999999999999996,10134.666666666666,23.10505835406834,29.381882591062944,,,1.230448717948718,0.0,0,Consumer,15.0,6.666666666666667,9.0,1.0,100.0,19434.0,-40.856231347123604,13.41270885409815,4833.0,1373.0,1752.0,1,1961.0,2220.3333333333335,1961.0,3,0,2.176700195165891,117.6700195165891,0.4057521208359197,10.0,40.0,15.373597517307225,0.0,,,,,,,,,,,,,,-1.0,0,0.0,,,3.6047223995300186,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
DE000A1EWWW0,2011,Adidas,Adidas AG,0,DAX,,4,1460,01jan2011,31dec2011,3181.0,2613.0,8641.0,,,0.0,0.0,0.0,94.0,14529.0,0.0,0.0,14529.0,21.894142748984788,17.98472021474293,,0.0,59.474155137999865,78.10585725101521,0.0,0.0,3632.25,26.405080911780065,1.9551282051281982,-31.9353998437093,94.61711711711712,12172.333333333334,9.288091260139884,44.45374925936961,,,0.8214397988054071,0.0,0,Consumer,14.0,13.333333333333334,6.0,1.0,100.0,23943.37,-39.319318876164886,19.360845633540535,5847.0,1400.0,1200.0,1,2556.0,2894.0,2561.0,3,0,2.020387007601935,102.0387007601935,0.4371472550025654,8.0,53.333333333333336,20.980757293606445,0.0,,,,,,,,,,,,,,-1.0,0,0.0,,,5.054168380437044,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
DE000A1EWWW0,2012,Adidas,Adidas AG,0,DAX,,4,1460,01jan2012,31dec2012,3320.0,2721.0,4168.0,,,0.0,0.0,0.0,100.0,10309.0,0.0,800.0,11109.0,32.20486953147735,26.394412649141525,,0.0,40.430691628673976,67.79513046852264,7.760209525657193,0.0,2577.25,-29.04535756074059,4.369695064445134,4.133180252583246,-51.7648420321722,12110.666666666666,28.424007907236582,46.177898867123396,,,0.819578313253012,0.0,0,Consumer,15.0,6.666666666666667,14.0,1.0,100.0,27191.0,-62.0867198705454,-14.876692722668716,4206.0,1400.0,1236.0,1,1774.0,2034.3333333333333,1810.0,3,0,2.0675077830575126,106.75077830575125,0.4217784117926771,13.0,20.0,-28.065674704976907,0.0,,,,,,,,,,,,,,-1.0,0,0.0,,,3.213565523024021,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
DE000A1EWWW0,2013,Adidas,Adidas AG,0,DAX,,5,1551,01jan2013,31dec2013,3541.0,1879.0,4067.0,,,0.0,0.0,0.0,138.0,9625.0,0.0,941.0,10566.0,36.78961038961039,19.522077922077923,,0.0,42.25454545454546,63.21038961038961,9.776623376623377,0.0,1925.0,-6.634979144436903,6.656626506024099,-30.944505696435133,-2.4232245681381936,11487.666666666666,27.894508886383456,47.386464073739766,,,0.5306410618469359,0.0,0,Consumer,15.0,6.666666666666667,15.0,1.0,100.0,26944.13,-64.27793363526676,-16.21449090328758,3904.0,1482.0,828.0,1,1653.0,1430.25,1661.5,4,0,2.729592728543961,172.9592728543961,0.4234118852459016,14.0,13.333333333333334,-7.180218735140276,0.0,,,,,,,,,,,,,,-1.0,0,0.0,,,5.218018612979409,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
DE000A1EWWW0,2014,Adidas,Adidas AG,0,DAX,,6,1824,01jan2014,31dec2014,3803.475,1528.689,8787.925,4740.613,8787.925,0.0,0.0,0.0,113.102,14233.19,104.53,2849.425,17187.14,26.72257589479238,10.740311904780306,33.306749927458284,0.0,61.74248358941319,73.27742410520761,20.019580993438577,0.7344102060044164,2372.1983333333333,47.87729870129871,7.412454109008748,-18.643480574773807,116.07880501598227,11389.063333333334,39.5619946899809,48.14257355754421,-4047.311999999999,0.5394462287741418,0.40191903456707356,0.0,1,Consumer,13.0,20.0,12.0,1.0,100.0,27469.24,-48.184988008405035,24.972437007550226,5469.591,1500.0,700.194,1,2462.119,1752.72,1588.766,5,0,3.1206302204573464,212.06302204573464,0.4501468208500416,7.0,60.0,40.10222848360656,0.0,,,,,,,,,,,,,,-1.0,0,0.0,,,8.109575276596923,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
DE000A1EWWW0,2015,Adidas,Adidas AG,0,DAX,,5,1825,01jan2015,31dec2015,3984.088,3317.402,0.0,4570.235,0.0,0.0,0.0,0.0,112.407,7413.897,0.0,1756.678,9170.575,53.7381083119984,44.74572549362367,61.644166354078024,0.0,0.0,46.2618916880016,23.694394459486016,0.0,1482.7794,-47.911206131583995,4.748631185954966,117.00960757878156,-100.0,10424.029,48.04642374541585,34.665676347986214,4570.235,,0.8326628327486741,0.0,0,Consumer,15.0,6.666666666666667,15.0,1.0,100.0,22075.98,-66.41645353909543,-28.876857499149327,2921.727,1582.258,1311.27,1,1194.42,1123.0425,1087.0810000000001,4,0,2.601617481083752,160.1617481083752,0.4088061615612958,15.0,6.666666666666667,-46.58234957604692,0.0,,,,,,,,,,,,,,-1.0,0,0.0,,,5.493329464238532,0,24.69106463878327,-29.045357560740587,-47.911206131584,-49.85955764660231,0,0,0,0
