total_comp_bt,year_centered,log_n_exec,is_dax,sector,company_shortname,year,log_comp,log_comp_lag1,sector_Auto,sector_Banking,sector_Chemicals,sector_Consumer,sector_Energy,sector_Industrials,sector_Insurance,sector_Logistics,sector_Media,sector_Pharma,sector_Real Estate,sector_Tech,sector_Telecom,log_comp_pred,log_comp_resid,resid_std,pred_comp,pred_comp_low,pred_comp_high,actual_vs_expected_pct,benchmark_signal
10612.0,-5,1.3862943611198906,1,Consumer,Adidas,2007,9.26974071525763,9.08398318309966,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.00366880687634,0.26607190838129036,0.507643963674219,8132.867178699459,4246.644978635665,15575.478731828689,30.48288834463645,🟡 Above Market
8416.0,-4,1.3862943611198906,1,Consumer,Adidas,2008,9.03788993497749,9.26974071525763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.131672284458672,-0.09378234948118092,0.507643963674219,9243.466757348033,4826.5538865660965,17702.418682615506,-8.951909268135179,🟢 In Line
10494.0,-3,1.3862943611198906,1,Consumer,Adidas,2009,9.258558944246657,9.03788993497749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.007825399917937,0.2507335443287193,0.507643963674219,8166.7425521206,4264.3332896921975,15640.354395805549,28.49676517934434,🟡 Above Market
11494.0,-2,1.3862943611198906,1,Consumer,Adidas,2010,9.349580439067687,9.258558944246657,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.156883219310119,0.1926972197575676,0.507643963674219,9479.465571163375,4949.782651481591,18154.386534118705,21.251561216329094,🟡 Above Market
14529.0,-1,1.3862943611198906,1,Consumer,Adidas,2011,9.583901931071338,9.349580439067687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.227753482349579,0.35614844872175944,0.507643963674219,10175.656024141997,5313.304350084879,19487.680113788934,42.78194905104482,🔴 Significantly Overpaid
10309.0,0,1.3862943611198906,1,Consumer,Adidas,2012,9.240772579096385,9.583901931071338,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.385044812948673,-0.1442722338522877,0.507643963674219,11908.941850646646,6218.354117889323,22807.14370931028,-13.434794381498897,🟢 In Line
9625.0,1,1.6094379124341003,1,Consumer,Adidas,2013,9.172119159155985,9.240772579096385,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.289481015438936,-0.11736185628295104,0.507643963674219,10823.565377373954,5651.615666507183,20728.509224812355,-11.073665059385021,🟢 In Line
14233.19,2,1.791759469228055,1,Consumer,Adidas,2014,9.56333184024029,9.172119159155985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.341996402360582,0.22133543787970744,0.507643963674219,11407.158801747293,5956.343879906599,21846.16512274325,24.774190027229476,🟡 Above Market
7413.897,3,1.6094379124341003,1,Consumer,Adidas,2015,8.91111149097862,9.56333184024029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.51596380551953,-0.6048523145409099,0.507643963674219,13574.710322329382,7088.149131186504,25997.30295238723,-45.38449201523885,🔵 Significantly Underpaid
11332.72,4,1.791759469228055,1,Consumer,Adidas,2016,9.335449395818717,8.91111149097862,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.216542848994017,0.11890654682470014,0.507643963674219,10062.217522091163,5254.071482446289,19270.43090299513,12.626466036134708,🟢 In Line
33112.59,5,2.0794415416798357,1,Consumer,Adidas,2017,10.407668851583427,9.335449395818717,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.611411517435,0.7962573341484269,0.507643963674219,14934.235150216213,7798.036450974181,28600.966528451012,121.7227040215756,🔴 Significantly Overpaid
17367.91,6,1.791759469228055,1,Consumer,Adidas,2018,9.762379529600897,10.407668851583427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.151037998203211,-0.3886584686023138,0.507643963674219,25617.679516011805,13376.48675314601,49061.12613095094,-32.20342229223164,🟡 Below Market
16493.6,7,1.9459101490553132,1,Consumer,Adidas,2019,9.710727705856359,9.762379529600897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84375408398351,-0.1330263781271519,0.507643963674219,18840.311538049235,9837.62707923414,36081.60138536015,-12.455800071617178,🟢 In Line
8269.964,8,1.791759469228055,1,Consumer,Adidas,2020,9.020385434924828,9.710727705856359,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.762682579829514,-0.7422971449046862,0.507643963674219,17373.17414670625,9071.548954629672,33271.84601453808,-52.3980826407137,🔵 Significantly Underpaid
27310.39,9,1.791759469228055,1,Consumer,Adidas,2021,10.215022494849125,9.020385434924828,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.362329590137891,0.8526929047112333,0.507643963674219,11641.476847123633,6078.695017449741,22294.914088151345,134.5955788826555,🔴 Significantly Overpaid
