company_person_id,year,isin,company_shortname,company_name,exec_id,exec_fullname,days,ceo_flag_eoy,cfo_flag_eoy,date_begin_ceo,date_end_ceo,date_begin_cfo,date_end_cfo,salary,one_year_bonus,multi_year_bonus,multi_year_bonus_grants,multi_year_bonus_payout,total_equity_grants,stock_grants,option_grants,other_annual_comp,total_comp,pension,pension_missing,one_time_payment,total_comp_pens_and_one_time,sector
853.0,2006,DE0007100000,Daimler,Daimler AG,809.0,Günther Fleig,365.0,,,,,,,525.0,844.0,0.0,,,1188.0,1188.0,0.0,145.0,2702.0,389.0,0.0,0.0,3091.0,Auto
1394.0,2006,DE0007100000,Daimler,Daimler AG,1323.0,Prof. Dr. Thomas Weber,365.0,,,,,,,525.0,921.0,0.0,,,1188.0,1188.0,0.0,430.0,3064.0,277.0,0.0,0.0,3341.0,Auto
1619.0,2006,DE0007100000,Daimler,Daimler AG,1538.0,Thomas W. LaSorda,365.0,,,,,,,717.0,861.0,0.0,,,1525.0,1525.0,0.0,75.0,3178.0,34.0,0.0,0.0,3212.0,Auto
1620.0,2006,DE0007100000,Daimler,Daimler AG,1539.0,Thomas W. Sidlik,365.0,,,,,,,502.0,687.0,0.0,,,1188.0,1188.0,0.0,68.0,2445.0,30.0,0.0,0.0,2475.0,Auto
41.0,2007,DE0007100000,Daimler,Daimler AG,40.0,Andreas Renschler,365.0,,,,,,,550.0,1910.0,0.0,,,1224.998,1224.998,0.0,162.0,3846.998,210.0,0.0,0.0,4056.998,Auto
116.0,2007,DE0007100000,Daimler,Daimler AG,109.0,Bodo Uebber,365.0,,1.0,,,01jan2007,31dec2007,600.0,2135.0,0.0,,,1312.483,1312.483,0.0,180.0,4227.483,318.0,0.0,0.0,4545.483,Auto
330.0,2007,DE0007100000,Daimler,Daimler AG,310.0,Dr. Dieter Zetsche,365.0,1.0,,01jan2007,31dec2007,,,1500.0,5395.0,0.0,,,2749.989,2749.989,0.0,369.0,10013.99,660.0,0.0,0.0,10673.99,Auto
625.0,2007,DE0007100000,Daimler,Daimler AG,591.0,Dr. Rüdiger Grube,365.0,,,,,,,550.0,1753.0,0.0,,,1125.0,1125.0,0.0,185.0,3613.0,386.0,0.0,0.0,3999.0,Auto
765.0,2007,DE0007100000,Daimler,Daimler AG,725.0,Eric R. Ridenour,214.0,,,,,,,273.0,773.0,0.0,,,0.0,0.0,0.0,29.0,1075.0,,1.0,3200.0,4275.0,Auto
853.0,2007,DE0007100000,Daimler,Daimler AG,809.0,Günther Fleig,365.0,,,,,,,525.0,1787.0,0.0,,,1187.511,1187.511,0.0,203.0,3702.511,370.0,0.0,0.0,4072.511,Auto
1394.0,2007,DE0007100000,Daimler,Daimler AG,1323.0,Prof. Dr. Thomas Weber,365.0,,,,,,,525.0,1787.0,0.0,,,1187.511,1187.511,0.0,764.0,4263.511,247.0,0.0,0.0,4510.511,Auto
1619.0,2007,DE0007100000,Daimler,Daimler AG,1538.0,Thomas W. LaSorda,214.0,,,,,,,390.0,1104.0,0.0,,,0.0,0.0,0.0,43.0,1537.0,,1.0,10400.0,11937.0,Auto
1620.0,2007,DE0007100000,Daimler,Daimler AG,1539.0,Thomas W. Sidlik,214.0,,,,,,,273.0,394.0,0.0,,,0.0,0.0,0.0,42.0,709.0,,1.0,2700.0,3409.0,Auto
41.0,2008,DE0007100000,Daimler,Daimler AG,40.0,Andreas Renschler,365.0,,,,,,,575.0,207.0,0.0,,,1250.0,1250.0,0.0,881.0,2913.0,262.0,0.0,0.0,3175.0,Auto
116.0,2008,DE0007100000,Daimler,Daimler AG,109.0,Bodo Uebber,365.0,,1.0,,,01jan2008,31dec2008,660.0,233.0,0.0,,,1339.0,1339.0,0.0,130.0,2362.0,464.0,0.0,0.0,2826.0,Auto
330.0,2008,DE0007100000,Daimler,Daimler AG,310.0,Dr. Dieter Zetsche,365.0,1.0,,01jan2008,31dec2008,,,1530.0,494.0,0.0,,,2799.0,2799.0,0.0,213.0,5036.0,696.0,0.0,0.0,5732.0,Auto
625.0,2008,DE0007100000,Daimler,Daimler AG,591.0,Dr. Rüdiger Grube,365.0,,,,,,,560.0,203.0,0.0,,,1150.0,1150.0,0.0,202.0,2115.0,426.0,0.0,0.0,2541.0,Auto
853.0,2008,DE0007100000,Daimler,Daimler AG,809.0,Günther Fleig,365.0,,,,,,,545.0,199.0,0.0,,,1188.0,1188.0,0.0,159.0,2091.0,365.0,0.0,0.0,2456.0,Auto
1394.0,2008,DE0007100000,Daimler,Daimler AG,1323.0,Prof. Dr. Thomas Weber,365.0,,,,,,,545.0,199.0,0.0,,,1188.0,1188.0,0.0,311.0,2243.0,272.0,0.0,0.0,2515.0,Auto
41.0,2009,DE0007100000,Daimler,Daimler AG,40.0,Andreas Renschler,365.0,,,,,,,517.0,305.0,0.0,,,966.0,966.0,0.0,251.0,2039.0,215.0,0.0,0.0,2254.0,Auto
116.0,2009,DE0007100000,Daimler,Daimler AG,109.0,Bodo Uebber,365.0,,1.0,,,01jan2009,31dec2009,594.0,297.0,0.0,,,930.0,930.0,0.0,219.0,2040.0,362.0,0.0,0.0,2402.0,Auto
330.0,2009,DE0007100000,Daimler,Daimler AG,310.0,Dr. Dieter Zetsche,365.0,1.0,,01jan2009,31dec2009,,,1377.0,689.0,0.0,,,2164.0,2164.0,0.0,112.0,4342.0,629.0,0.0,0.0,4971.0,Auto
625.0,2009,DE0007100000,Daimler,Daimler AG,591.0,Dr. Rüdiger Grube,119.0,,,,,,,187.0,56.0,0.0,,,0.0,0.0,0.0,209.0,452.0,126.0,0.0,0.0,578.0,Auto
853.0,2009,DE0007100000,Daimler,Daimler AG,809.0,Günther Fleig,97.0,,,,,,,148.0,45.0,0.0,,,216.0,216.0,0.0,42.0,451.0,0.0,0.0,0.0,451.0,Auto
1394.0,2009,DE0007100000,Daimler,Daimler AG,1323.0,Prof. Dr. Thomas Weber,365.0,,,,,,,490.0,245.0,0.0,,,919.0,919.0,0.0,252.0,1906.0,240.0,0.0,0.0,2146.0,Auto
1682.0,2009,DE0007100000,Daimler,Daimler AG,1596.0,Wilfried Porth,267.0,,,,,,,329.0,172.0,0.0,,,0.0,0.0,0.0,349.0,850.0,88.0,0.0,0.0,938.0,Auto
41.0,2010,DE0007100000,Daimler,Daimler AG,40.0,Andreas Renschler,365.0,,,,,,,532.0,1771.0,0.0,,,1079.0,1079.0,0.0,166.0,3548.0,243.0,0.0,0.0,3791.0,Auto
116.0,2010,DE0007100000,Daimler,Daimler AG,109.0,Bodo Uebber,365.0,,1.0,,,01jan2010,31dec2010,610.0,2079.0,0.0,,,997.0,997.0,0.0,394.0,4080.0,270.0,0.0,0.0,4350.0,Auto
330.0,2010,DE0007100000,Daimler,Daimler AG,310.0,Dr. Dieter Zetsche,365.0,1.0,,01jan2010,31dec2010,,,1415.0,4819.0,0.0,,,2457.0,2457.0,0.0,133.0,8824.0,712.0,0.0,0.0,9536.0,Auto
710.0,2010,DE0007100000,Daimler,Daimler AG,672.0,Dr. Wolfgang Bernhard,316.0,,,,,,,442.0,1487.0,0.0,,,905.0,905.0,0.0,52.0,2886.0,205.0,0.0,0.0,3091.0,Auto
1394.0,2010,DE0007100000,Daimler,Daimler AG,1323.0,Prof. Dr. Thomas Weber,365.0,,,,,,,504.0,1679.0,0.0,,,1043.0,1043.0,0.0,162.0,3388.0,270.0,0.0,0.0,3658.0,Auto
1682.0,2010,DE0007100000,Daimler,Daimler AG,1596.0,Wilfried Porth,365.0,,,,,,,496.0,1679.0,0.0,,,983.0,983.0,0.0,101.0,3259.0,118.0,0.0,0.0,3377.0,Auto
41.0,2011,DE0007100000,Daimler,Daimler AG,40.0,Andreas Renschler,365.0,,,,,,,755.0,747.0,747.0,,,1148.0,1148.0,0.0,169.0,3566.0,278.0,0.0,0.0,3844.0,Auto
116.0,2011,DE0007100000,Daimler,Daimler AG,109.0,Bodo Uebber,365.0,,1.0,,,01jan2011,31dec2011,866.0,879.0,879.0,,,1054.0,1054.0,0.0,340.0,4018.0,461.0,0.0,0.0,4479.0,Auto
306.0,2011,DE0007100000,Daimler,Daimler AG,286.0,Dr. Christine Hohmann-Dennhardt,318.0,,,,,,,624.0,618.0,618.0,,,899.0,899.0,0.0,121.0,2880.0,,1.0,0.0,2880.0,Auto
330.0,2011,DE0007100000,Daimler,Daimler AG,310.0,Dr. Dieter Zetsche,365.0,1.0,,01jan2011,31dec2011,,,2008.0,2038.0,2038.0,,,2570.0,2570.0,0.0,159.0,8813.0,794.0,0.0,0.0,9607.0,Auto
710.0,2011,DE0007100000,Daimler,Daimler AG,672.0,Dr. Wolfgang Bernhard,365.0,,,,,,,715.0,726.0,726.0,,,1026.0,1026.0,0.0,73.0,3266.0,234.0,0.0,0.0,3500.0,Auto
1394.0,2011,DE0007100000,Daimler,Daimler AG,1323.0,Prof. Dr. Thomas Weber,365.0,,,,,,,715.0,726.0,726.0,,,1092.0,1092.0,0.0,149.0,3408.0,303.0,0.0,0.0,3711.0,Auto
1682.0,2011,DE0007100000,Daimler,Daimler AG,1596.0,Wilfried Porth,365.0,,,,,,,715.0,708.0,708.0,,,966.0,966.0,0.0,185.0,3282.0,140.0,0.0,0.0,3422.0,Auto
41.0,2012,DE0007100000,Daimler,Daimler AG,40.0,Andreas Renschler,365.0,,,,,,,755.0,536.0,536.0,,,1460.0,1460.0,0.0,0.0,3287.0,309.0,0.0,0.0,3596.0,Auto
116.0,2012,DE0007100000,Daimler,Daimler AG,109.0,Bodo Uebber,365.0,,1.0,,,01jan2012,31dec2012,866.0,636.0,636.0,,,1402.0,1402.0,0.0,0.0,3540.0,510.0,0.0,0.0,4050.0,Auto
306.0,2012,DE0007100000,Daimler,Daimler AG,286.0,Dr. Christine Hohmann-Dennhardt,365.0,,,,,,,715.0,526.0,526.0,,,1317.0,1317.0,0.0,0.0,3084.0,,1.0,0.0,3084.0,Auto
330.0,2012,DE0007100000,Daimler,Daimler AG,310.0,Dr. Dieter Zetsche,365.0,1.0,,01jan2012,31dec2012,,,2008.0,1426.0,1426.0,,,3293.0,3293.0,0.0,0.0,8153.0,872.0,0.0,0.0,9025.0,Auto
710.0,2012,DE0007100000,Daimler,Daimler AG,672.0,Dr. Wolfgang Bernhard,365.0,,,,,,,715.0,508.0,508.0,,,1316.0,1316.0,0.0,0.0,3047.0,265.0,0.0,0.0,3312.0,Auto
943.0,2012,DE0007100000,Daimler,Daimler AG,896.0,Hubertus Troska,18.0,,,,,,,37.0,24.0,24.0,,,0.0,0.0,0.0,0.0,85.0,5.0,0.0,0.0,90.0,Auto
1394.0,2012,DE0007100000,Daimler,Daimler AG,1323.0,Prof. Dr. Thomas Weber,365.0,,,,,,,715.0,490.0,490.0,,,1399.0,1399.0,0.0,0.0,3094.0,333.0,0.0,0.0,3427.0,Auto
1682.0,2012,DE0007100000,Daimler,Daimler AG,1596.0,Wilfried Porth,365.0,,,,,,,715.0,508.0,508.0,,,1229.0,1229.0,0.0,0.0,2960.0,156.0,0.0,0.0,3116.0,Auto
41.0,2013,DE0007100000,Daimler,Daimler AG,40.0,Andreas Renschler,365.0,,,,,,,755.0,623.0,623.0,,,1226.0,1226.0,,511.0,3738.0,,1.0,62.995,3800.995,Auto
116.0,2013,DE0007100000,Daimler,Daimler AG,109.0,Bodo Uebber,365.0,,1.0,,,01jan2013,31dec2013,866.0,736.0,736.0,,,1199.0,1199.0,,603.0,4140.0,,1.0,,4140.0,Auto
