isin|year|company_shortname|company_name|opting_out|index_listing|new_cnameshort|n_executives|days_bt|fy_begin|fy_end|salary_bt|one_year_bonus_bt|multi_year_bonus_bt|multi_year_bonus_grants_bt|multi_year_bonus_payout_bt|total_equity_grants_bt|stock_grants_bt|option_grants_bt|other_annual_bt|total_comp_bt|one_time_payment_bt|pension_bt|total_comp_pens_and_one_time_bt|sector|comp_per_exec
DE0005545503|2017|1&1 Drillisch|1&1 Drillisch AG|0|||3|820|01jan2017|31dec2017|1400.0|1450.0|0.0|1662.0|0.0|0.0|0.0|0.0|45.0|2895.0|1907.0|2.0|4804.0|Information Technology|965.0
DE0005545503|2018|1&1 Drillisch|1&1 Drillisch AG|0|MDAX||2|730|01jan2018|31dec2018|700.0|531.0|300.0|100.0|300.0|0.0|0.0|0.0|25.0|1556.0|0.0|1.0|1557.0|Information Technology|778.0
IT0000062072|2006|AMB Generali|AMB Generali Holding AG|1|MDAX||2|730|01jan2006|31dec2006|1119.0|1998.0|0.0|||0.0|0.0|0.0|13.0|3130.0|0.0|0.0|3130.0|Financials|1565.0
IT0000062072|2007|AMB Generali|AMB Generali Holding AG|1|MDAX||4|943|01jan2007|31dec2007|1022.0|1877.0|0.0|||0.0|0.0|0.0|117.0|3016.0|0.0||3016.0|Financials|754.0
DE0005085906|2006|AWD|AWD Holding AG|0|MDAX||4|1111|01jan2006|31dec2006|1602.0|1331.0|0.0|||58.0|0.0|58.0|104.0|3095.0|160.0|0.0|3255.0|Consumer Discretionary|773.75
DE0005085906|2007|AWD|AWD Holding AG|0|MDAX||5|1017|01jan2007|31dec2007|1454.0|830.0|0.0|||44.0|0.0|44.0|98.0|2426.0|0.0|0.0|2426.0|Consumer Discretionary|485.2
DE0005085906|2008|AWD|AWD Holding AG|0|MDAX||8|1604|01jan2008|31dec2008|2211.0|1092.0|110.0|||0.0|0.0|0.0|294.0|3707.0|0.0|0.0|3707.0|Consumer Discretionary|463.375
DE0005408116|2006|Aareal Bank|Aareal Bank AG|1|MDAX||5|1825|01jan2006|31dec2006|1820.0|2580.0|0.0|||2130.0|2130.0|0.0|100.0482|6630.048|0.0|242.915|6872.963|Financials|1326.0095999999999
DE0005408116|2007|Aareal Bank|Aareal Bank AG|0|MDAX||5|1701|01jan2007|31dec2007|1745.0|2145.0|0.0|||4835.0|4835.0|0.0|647.7018|9372.702|0.0|0.0|9372.702|Financials|1874.5403999999999
DE0005408116|2008|Aareal Bank|Aareal Bank AG|0|MDAX||4|1460|01jan2008|31dec2008|2442.5|1443.75|0.0|||1500.0|1500.0|0.0|101.766|5488.016|0.0|0.0|5488.016|Financials|1372.004
DE0005408116|2009|Aareal Bank|Aareal Bank AG|0|MDAX||4|1460|01jan2009|31dec2009|2000.0|0.0|0.0|||0.0|0.0|0.0|126.654|2126.654|0.0|929.0|3055.654|Financials|531.6635
DE0005408116|2010|Aareal Bank|Aareal Bank AG|0|MDAX||5|1458|01jan2010|31dec2010|2000.0|0.0|0.0|||0.0|0.0|0.0|139.0|2139.0|2546.0|6312.0|10997.0|Financials|427.8
DE0005408116|2011|Aareal Bank|Aareal Bank AG|0|MDAX||4|1460|01jan2011|31dec2011|2750.0|4534.125|669.937|||2804.062|2804.062|0.0|147.043|10905.17|0.0|970.0|11875.17|Financials|2726.2925
DE0005408116|2012|Aareal Bank|Aareal Bank AG|0|MDAX||4|1460|01jan2012|31dec2012|3150.0|880.0|1320.0|||2200.0|2200.0|0.0|137.8209|7687.821|0.0|0.0|7687.821|Financials|1921.95525
DE0005408116|2013|Aareal Bank|Aareal Bank AG|0|MDAX||5|1458|01jan2013|31dec2013|3179.167|1249.663|1378.245|||2297.075|919.0|1378.245|143.8259|8247.976|0.0|1748.0|9995.976|Financials|1649.5952000000002
DE0005408116|2014|Aareal Bank|Aareal Bank AG|0|MDAX||4|1460|01jan2014|31dec2014|3990.0|988.12|0.0|1482.18|0.0|2470.3|2470.3|0.0|150.115|7598.535|0.0|1764.796|9363.331|Financials|1899.63375
DE0005408116|2015|Aareal Bank|Aareal Bank AG|0|MDAX||4|1367|01jan2015|31dec2015|3987.167|958.48|844.229|1499.227|844.229|2498.711|2498.711|0.0|140.117|8428.704|6853.709|5689.541|20971.95|Financials|2107.176
DE0005408116|2016|Aareal Bank|Aareal Bank AG|0|MDAX||5|1569|01jan2016|31dec2016|3973.244|723.544|801.589|1149.18|801.589|1915.3|1915.3|0.0|155.625|7569.302|0.0|2403.065|9972.367|Financials|1513.8604
DE0005408116|2017|Aareal Bank|Aareal Bank AG|0|MDAX||5|1825|01jan2017|31dec2017|4468.0|1024.069|963.221|1284.0|963.221|2140.0|2140.0|0.0|179.406|8774.696|0.0|3031.369|11806.07|Financials|1754.9392
DE0005408116|2018|Aareal Bank|Aareal Bank AG|0|MDAX||6|1916|01jan2018|31dec2018|4688.0|1051.158|1191.188|1344.493|1191.188|2240.822|2240.822|0.0|171.165|9342.333|0.0|3025.863|12368.2|Financials|1557.0555000000002
