isin,company_shortname,year,role,sector,n_seat_holders,comp_per_seat,PC1,PC2,PC3,PC4,PC5,PC6,PC7
DE 0008063306,IKB,2006,CEO,Financials,1,792.0,-2.672843945467469,0.03873452316610554,-0.17204959008924853,0.22454363019529963,-0.8177683780302979,1.5084258975322922,-0.003990092725480007
DE 0008063306,IKB,2006,Other,Financials,6,702.8433029006243,-2.406739737256648,0.5568672763833367,-0.12270090613936484,0.4915110367527308,-0.5345020470021246,1.6136775257526295,0.2192620457055115
DE 0008063306,IKB,2007,CEO,Financials,1,1388.780487804878,-1.3483530195840823,1.7053617705646085,0.06846122129279127,0.9850764283160071,0.913232524595668,0.3889688349467274,-0.2316719797095678
DE 0008063306,IKB,2007,CFO,Financials,1,1599.0476190476188,-1.1796317622684769,1.8201379676841285,0.06767997726535448,1.0412190556090066,1.0349394048314646,0.34348761616765117,-0.21047251983253304
DE 0008063306,IKB,2007,Other,Financials,6,707.5768746375919,-2.5626087791100147,0.2260795680945799,-0.17812688585096498,0.6554578425132969,-0.4403170058112058,0.5422054381991903,0.3857333158345273
DE 0008063306,IKB,2008,CEO,Financials,1,1540.3,-1.5874458881499103,1.2695874173179666,0.03545094789659204,0.7881568927373382,0.6996799628277259,0.25742928066535536,-0.4818276275499228
DE 0008063306,IKB,2008,CFO,Financials,1,1472.0,-1.0529043056663054,2.0723673667530194,0.0909925256035888,1.1310324703740238,1.1626980120959234,0.39502179642939655,-0.06458148858173376
DE 0008063306,IKB,2008,Other,Financials,5,1006.0592395905488,-1.8935217509598161,0.9468010790522644,-0.10225227119958406,1.080271008226012,0.36933416445577605,-0.12024505755046552,0.40554500089976964
DE0003304101,Gerry Weber,2008,CEO,Consumer Discretionary,1,2617.0,0.010956792867841509,2.9426281171561017,0.0783854626536666,1.3334157723687565,1.815941098669412,0.38416751413088923,0.5206626629464829
DE0003304101,Gerry Weber,2008,Other,Consumer Discretionary,2,1361.8302752293578,-1.2867154189821304,1.860122530481777,0.11304608860919897,1.0346289747331208,1.1074292607839904,0.1814953909200268,-0.3261056644794108
DE0003304101,Gerry Weber,2009,CEO,Consumer Discretionary,1,2879.0,0.17511508428770073,3.0518714434340555,0.0686397768337242,1.3283394731715,1.8898425690536371,0.3985423456373445,0.6411256128875935
DE0003304101,Gerry Weber,2009,CFO,Consumer Discretionary,1,678.1420765027323,-2.6953476102030764,0.5129899492092496,0.11689287439408104,0.29737467534472584,0.22326723328142062,-0.1416751768670178,-1.0510766665180902
DE0003304101,Gerry Weber,2009,Other,Consumer Discretionary,2,1488.2536764705883,-1.111455474823949,2.0176554366056005,0.11059891492207098,1.1050695018006167,1.211040069113291,0.2163174606114641,-0.22672966929664065
DE0003304101,Gerry Weber,2010,CEO,Consumer Discretionary,1,3742.0,0.6360250775698698,3.344021573350454,0.03836878248177334,1.2645392531958783,2.0858642322047167,0.4268640383743056,1.0068666113028513
DE0003304101,Gerry Weber,2010,CFO,Consumer Discretionary,1,716.0,-2.5686945480473473,0.6457870066380977,0.11878586620567606,0.3752767889535593,0.30862787168529293,-0.10933297460839225,-0.9866147501301383
DE0003304101,Gerry Weber,2010,Other,Consumer Discretionary,1,948.0,-2.5113044001448612,0.43993552176540196,0.069078755072452,0.2877340260999315,0.2304805523127087,-0.13742535622545843,-1.0486569275677655
DE0003304101,Gerry Weber,2011,CEO,Consumer Discretionary,1,4184.0,0.8402326798857083,3.468609018979099,0.02397115079674057,1.2141285088024136,2.168224140867048,0.4341249703511997,1.1823599892295615
DE0003304101,Gerry Weber,2011,CFO,Consumer Discretionary,1,773.9,-2.3689803437156733,0.8623763806879822,0.12313007699620755,0.4993110405774833,0.44613410935006936,-0.057660264171442654,-0.8808882168504752
DE0003304101,Gerry Weber,2011,Other,Consumer Discretionary,1,960.0,-2.4769398778607243,0.478307702752216,0.07003791397252969,0.3101519301022072,0.2546928800406839,-0.12822859188220068,-1.0305156424935926
